word,code
I,1
am,2
Sam,3
Sam,3
I,1
am,2
That,4
Sam-I-am!,5
That,4
Sam-I-am!,5
I,1
do,6
not,7
like,8
that,4
Sam-I-am!,5
Do,6
you,9
like,8
green,10
eggs,11
and,12
ham?,13
I,1
do,6
not,7
like,8
"them,",14
Sam-I-am.,5
I,1
do,6
not,7
like,8
green,10
eggs,11
and,12
ham.,13
Would,15
you,9
like,8
them,14
here,16
or,17
there?,18
I,1
would,15
not,7
like,8
them,14
here,16
or,17
there.,18
I,1
would,15
not,7
like,8
them,14
anywhere.,19
I,1
do,6
not,7
like,8
green,10
eggs,11
and,12
ham.,13
I,1
do,6
not,7
like,8
"them,",14
Sam-I-am.,5
Would,15
you,9
like,8
them,14
in,20
a,21
house?,22
Would,15
you,9
like,8
them,14
with,23
a,21
mouse?,24
I,1
do,6
not,7
like,8
them,14
in,20
a,21
house.,22
I,1
do,6
not,7
like,8
them,14
with,23
a,21
mouse.,24
I,1
do,6
not,7
like,8
them,14
here,16
or,17
there.,18
I,1
do,6
not,7
like,8
them,14
anywhere.,19
I,1
do,6
not,7
like,8
green,10
eggs,11
and,12
ham.,13
I,1
do,6
not,7
like,8
"them,",14
Sam-I-am.,5
Would,15
you,9
eat,25
them,14
in,20
a,21
box?,26
Would,15
you,9
eat,25
them,14
with,23
a,21
fox?,27
Not,7
in,20
a,21
box.,26
Not,7
with,23
a,21
fox.,27
Not,7
in,20
a,21
house.,22
Not,7
with,23
a,21
mouse.,24
I,1
would,15
not,7
eat,25
them,14
here,16
or,17
there.,18
I,1
would,15
not,7
eat,25
them,14
anywhere.,19
I,1
would,15
not,7
eat,25
green,10
eggs,11
and,12
ham.,13
I,1
do,6
not,7
like,8
"them,",14
Sam-I-am.,5
